title,year,score,scored_by,members,rank,genres,demographics
Cowboy Bebop,1998,8.75,1048553,2030335,47,"Action, Award Winning, Sci-Fi",
Trigun,1998,8.22,397471,824151,407,"Action, Adventure, Sci-Fi",Shounen
Witch Hunter Robin,2002,7.23,46077,127424,3400,"Action, Drama, Mystery, Supernatural",
Bouken Ou Beet,2004,6.92,7016,16567,4967,"Action, Adventure, Fantasy",Shounen
Eyeshield 21,2005,7.91,93060,194689,862,Sports,Shounen
Hachimitsu to Clover,2005,7.98,86630,283338,744,"Comedy, Drama, Romance",Josei
Hungry Heart: Wild Striker,2002,7.54,14106,26649,1930,Sports,Shounen
Initial D Fourth Stage,2004,8.17,117656,211652,478,"Action, Drama",Seinen
Monster,2004,8.89,498879,1299478,25,"Drama, Mystery, Suspense",Seinen
Naruto,2002,8.02,2117222,3078566,684,"Action, Adventure, Fantasy",Shounen
One Piece,1999,8.73,1500884,2631842,52,"Action, Adventure, Fantasy",Shounen
Tennis no Oujisama,2001,7.84,88191,196329,1017,Sports,Shounen
Ring ni Kakero 1,2004,6.37,1848,5600,8234,Sports,Shounen
School Rumble,2004,7.88,154229,343025,919,"Comedy, Romance",Shounen
Sunabouzu,2004,7.36,57800,150324,2676,"Action, Adventure, Comedy, Sci-Fi, Ecchi",Seinen
Texhnolyze,2003,7.75,62864,284312,1236,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",
Trinity Blood,2005,7.28,83620,197892,3062,"Action, Fantasy, Sci-Fi",
Yakitate!! Japan,2004,7.91,43073,104610,857,"Comedy, Gourmet",Shounen
Zipang,2004,7.49,8519,25099,2115,"Action, Drama, Sci-Fi",Seinen
Shinseiki Evangelion,1995,8.37,1196006,1998045,242,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",
Kenpuu Denki Berserk,1997,8.61,405520,752798,103,"Action, Adventure, Drama, Fantasy, Horror",Seinen
Rurouni Kenshin: Meiji Kenkaku Romantan,1996,8.27,246973,521803,338,"Action, Comedy, Romance",Shounen
.hack//Sign,2002,6.94,87314,192919,4867,"Adventure, Fantasy, Mystery",
Aa! Megami-sama! (TV),2005,7.31,80229,168405,2923,"Comedy, Romance, Supernatural",Seinen
Kidou Tenshi Angelic Layer,2001,7.25,30000,62259,3267,"Award Winning, Comedy, Drama, Sci-Fi",Shounen
Ai Yori Aoshi,2002,7.1,55557,116337,4100,"Comedy, Drama, Romance",Seinen
Arc the Lad,1999,6.48,6530,17940,7545,"Action, Adventure, Fantasy, Horror, Sci-Fi",
Avenger,2003,5.85,7392,19121,11257,"Adventure, Fantasy, Sci-Fi",
Beck,2004,8.29,149776,371191,316,Drama,Shounen
Blue Gender,1999,7.01,32151,88435,4564,"Adventure, Drama, Horror, Sci-Fi",
Chobits,2002,7.39,264000,510489,2558,"Comedy, Drama, Romance, Sci-Fi, Ecchi",Seinen
Chrno Crusade,2003,7.59,107162,236365,1703,"Action, Romance, Supernatural",Shounen
D.N.Angel,2003,7.15,101172,191040,3848,"Action, Comedy, Fantasy, Romance",Shoujo
D.C.: Da Capo,2003,6.7,31634,78870,6213,"Drama, Romance",
DearS,2004,6.54,82167,156024,7170,"Comedy, Romance, Sci-Fi, Ecchi",Shounen
